30
(0, 1, 5144189)
(1, 2, 4591263)
(2, 3, 9834468)
(3, 4, 3316492)
(4, 5, 3680479)
(5, 6, 6802769)
(6, 7, 2093173)
(7, 8, 6991547)
(8, 9, 1180790)
(9, 10, 4479225)
(10, 11, 4741567)
(11, 12, 7045086)
(12, 13, 2078926)
(13, 14, 7092533)
(14, 15, 3944190)
(15, 16, 6194937)
(16, 17, 1092952)
(17, 18, 7398750)
(18, 19, 7159424)
(19, 20, 4653405)
(20, 21, 923230)
(21, 22, 3347086)
(22, 23, 5677766)
(23, 24, 9056457)
(24, 25, 5343042)
(25, 26, 7045287)
(26, 27, 9479291)
(27, 28, 2096539)
(28, 29, 1559133)
(0, 2, 6998537)
(0, 3, 8405456)
(0, 4, 1693420)
(0, 5, 6750106)
(0, 8, 5146812)
(0, 10, 3270025)
(0, 11, 2775478)
(0, 12, 7281216)
(0, 13, 9635609)
(0, 14, 2050218)
(0, 16, 371166)
(0, 17, 2443291)
(0, 18, 6426496)
(0, 22, 9292531)
(0, 26, 1922594)
(0, 27, 4924825)
(0, 29, 7132214)
(1, 5, 1522532)
(1, 6, 2595432)
(1, 9, 5396915)
(1, 10, 7079466)
(1, 13, 3418968)
(1, 14, 638362)
(1, 15, 4581345)
(1, 16, 7615766)
(1, 17, 4696961)
(1, 18, 3430890)
(1, 19, 1909297)
(1, 20, 4747132)
(1, 21, 2197905)
(1, 23, 3530054)
(1, 24, 3127619)
(2, 7, 4449984)
(2, 10, 6176233)
(2, 13, 4183021)
(2, 15, 6309840)
(2, 18, 1359649)
(2, 19, 9332348)
(2, 21, 2106413)
(2, 23, 6851375)
(2, 24, 4100141)
(2, 25, 8422970)
(2, 26, 8006914)
(2, 28, 9841236)
(2, 29, 3374880)
(3, 6, 5753897)
(3, 7, 9259331)
(3, 9, 3383242)
(3, 10, 5806345)
(3, 11, 106013)
(3, 13, 1419064)
(3, 14, 8149160)
(3, 15, 7809011)
(3, 19, 6691133)
(3, 22, 1528143)
(3, 23, 8257183)
(3, 25, 8071683)
(3, 29, 6256758)
(4, 7, 3121787)
(4, 8, 2865453)
(4, 9, 4447434)
(4, 10, 9466639)
(4, 11, 145932)
(4, 12, 5142471)
(4, 13, 4377916)
(4, 16, 3619323)
(4, 17, 5041695)
(4, 18, 4550919)
(4, 20, 32520)
(4, 21, 3854378)
(4, 23, 7320720)
(4, 27, 3598341)
(4, 28, 8565787)
(4, 29, 4146331)
(5, 7, 6866225)
(5, 8, 1983415)
(5, 10, 9508882)
(5, 14, 4576909)
(5, 15, 5829827)
(5, 16, 4553505)
(5, 17, 615745)
(5, 18, 3821297)
(5, 21, 2430744)
(5, 23, 9374151)
(5, 24, 1784057)
(5, 28, 5965708)
(6, 8, 5329118)
(6, 9, 8779861)
(6, 16, 363944)
(6, 17, 2231951)
(6, 20, 5184372)
(6, 23, 4550016)
(6, 26, 3086673)
(6, 27, 3214759)
(7, 9, 1485048)
(7, 12, 8945037)
(7, 13, 3269966)
(7, 16, 416652)
(7, 20, 5901371)
(7, 23, 5783424)
(7, 26, 2522472)
(7, 27, 9824045)
(7, 28, 412045)
(7, 29, 5510983)
(8, 10, 1224083)
(8, 11, 3231024)
(8, 12, 7307151)
(8, 15, 1770393)
(8, 17, 9949777)
(8, 18, 7805031)
(8, 20, 5645462)
(8, 21, 668119)
(8, 23, 8804799)
(8, 24, 7133653)
(8, 27, 9113909)
(8, 28, 863118)
(9, 12, 7818370)
(9, 13, 8950688)
(9, 15, 1812324)
(9, 16, 3533906)
(9, 18, 9840524)
(9, 19, 6771959)
(9, 20, 5647202)
(9, 22, 9494944)
(9, 23, 7028937)
(9, 24, 7081690)
(9, 25, 5115798)
(9, 26, 5087799)
(9, 27, 4731522)
(10, 12, 1761498)
(10, 13, 6031754)
(10, 14, 3249858)
(10, 18, 9488640)
(10, 21, 8794701)
(10, 23, 6810064)
(10, 27, 5771717)
(11, 16, 8854885)
(11, 18, 3959795)
(11, 20, 8070593)
(11, 21, 3998382)
(11, 22, 8323299)
(11, 24, 6846934)
(11, 26, 5976459)
(11, 28, 9107783)
(11, 29, 663941)
(12, 14, 3874423)
(12, 17, 7301723)
(12, 19, 8848266)
(12, 21, 8449854)
(12, 22, 8337809)
(12, 23, 5221320)
(12, 24, 4764161)
(12, 26, 3132557)
(12, 28, 4957235)
(13, 19, 9587043)
(13, 20, 2584344)
(13, 21, 3511571)
(13, 26, 1674730)
(13, 27, 7578742)
(13, 28, 3233850)
(14, 16, 9024889)
(14, 17, 2368549)
(14, 18, 5627387)
(14, 20, 5423614)
(14, 21, 6133906)
(14, 22, 8017250)
(14, 24, 3964640)
(14, 25, 6114260)
(14, 26, 8779892)
(14, 29, 4941416)
(15, 20, 4260884)
(15, 24, 7785885)
(15, 25, 5177825)
(15, 26, 8685956)
(15, 27, 3655347)
(16, 18, 4197640)
(16, 19, 3791888)
(16, 20, 7972473)
(16, 24, 6411701)
(16, 25, 7344611)
(16, 26, 7299325)
(16, 28, 8112358)
(17, 19, 5472499)
(17, 20, 1388781)
(17, 21, 742989)
(17, 22, 5976526)
(17, 23, 2872603)
(17, 24, 4979658)
(17, 26, 3374238)
(18, 20, 8043685)
(18, 23, 113079)
(18, 24, 4171899)
(18, 28, 3502454)
(18, 29, 6338620)
(19, 21, 9216504)
(19, 23, 2010856)
(19, 29, 4616732)
(20, 22, 8173656)
(20, 23, 6383281)
(20, 24, 1928115)
(20, 28, 7010005)
(21, 23, 8804069)
(21, 26, 6035760)
(21, 28, 2127560)
(22, 24, 9429781)
(22, 25, 9058184)
(22, 27, 3207082)
(23, 25, 3031830)
(23, 26, 5704200)
(25, 28, 3686754)
(26, 28, 5686334)
(26, 29, 1738095)
